date,product,region,quantity,sales,profit
2024-04-03,蓝牙音箱,华东,2,839.28,214.39
2024-04-03,蓝牙音箱,华北,6,2023.75,581.97
2024-04-03,无线耳机,华西,5,2539.32,859.99
2024-04-04,智能台灯,华南,10,1578.92,599.1
2024-04-05,蓝牙音箱,华南,9,2259.94,664.35
2024-04-05,智能手表,华南,5,5957.08,1470.45
2024-04-05,空气净化器,华南,2,2474.18,448.07
2024-04-06,智能台灯,华南,5,612.84,199.23
2024-04-07,空气净化器,华东,4,6867.72,1041.19
2024-04-07,智能台灯,华北,11,2283.71,911.2
2024-04-08,蓝牙音箱,华东,7,1893.72,565.87
2024-04-09,无线耳机,华西,6,3006.47,738.89
2024-04-10,空气净化器,华西,2,3541.05,828.15
2024-04-10,空气净化器,华东,11,17108.93,4537.59
2024-04-11,智能手表,华南,11,10365.06,1983.49
2024-04-11,智能手表,华西,5,5748.48,1341.96
2024-04-11,无线耳机,华东,7,4162.45,1253.15
2024-04-13,智能台灯,华北,11,2068.04,796.47
2024-04-13,空气净化器,华西,7,11518.96,1651.35
2024-04-14,智能手表,华东,5,6368.96,1382.97
2024-04-15,蓝牙音箱,华南,9,2436.5,777.86
2024-04-15,无线耳机,华东,4,1705.44,630.04
2024-04-15,空气净化器,华西,11,17506.43,3624.88
2024-04-17,智能台灯,华西,3,619.4,214.58
2024-04-17,智能台灯,华西,4,862.55,255.57
2024-04-18,无线耳机,华北,5,2029.3,587.88
2024-04-18,无线耳机,华西,6,3104.53,935.17
2024-04-18,智能手表,华南,3,4369.2,839.28
2024-04-18,智能手表,华东,2,1973.58,438.89
2024-04-19,空气净化器,华南,4,7605.69,1341.07
2024-04-19,智能台灯,华东,5,1165.51,427.61
2024-04-21,空气净化器,华北,4,8835.09,2103.68
2024-04-21,空气净化器,华东,11,17185.87,2985.9
2024-04-23,蓝牙音箱,华东,18,6336.0,1423.61
2024-04-23,智能台灯,华东,8,1654.36,549.13
2024-04-23,空气净化器,华南,10,17154.07,3659.71
2024-04-25,智能台灯,华东,4,865.98,335.24
2024-04-26,智能手表,华南,2,2738.7,647.0
2024-04-27,无线耳机,华东,2,941.67,350.33
2024-04-27,智能手表,华东,1,1463.95,311.16
2024-04-27,空气净化器,华北,4,4843.05,1317.73
2024-04-28,蓝牙音箱,华南,10,3203.37,1001.78
2024-04-28,智能手表,华东,9,13839.9,1647.79
2024-04-28,蓝牙音箱,华北,11,2727.84,960.27
2024-04-28,蓝牙音箱,华西,7,1966.84,490.37
2024-04-29,无线耳机,华北,10,5380.39,1499.17
2024-04-29,智能手表,华东,7,8995.59,2167.5
2024-04-30,蓝牙音箱,华东,7,1887.19,397.2
2024-04-30,蓝牙音箱,华西,8,2368.22,597.22
